場所,レース,クラス,馬番,馬名,MS_index,MS_index_value,総合係数,総合判定,基準値,未勝利,コース,(判定),O_Month,O_Level,(判定),O_Trouble,O_Bias,(複合判定),S_Female,S_Handi,(複合判定),重賞,(判定),血統,(判定),総合係数
6,06_10,43,2,アンジョルラス,7.78,104.2,1.12,A,93.0,1.0,0.95187,D,1.028,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.14469,A,1.12
6,06_10,43,3,ホークマン,4.31,57.74,0.759,E,76.0,1.0,1.31041,SS,1.028,0.56,E,1.0,1.0,,1.0,1.0,,1.0,,1.00659,,0.759
6,06_10,43,4,シルバーレイン,4.74,63.51,0.747,E,85.0,1.0,1.02131,,1.028,0.642,E,1.0,1.0,,1.0,1.0,,1.0,,1.10785,A,0.747
6,06_10,43,5,バセリーナ,3.13,41.96,0.567,E,74.0,1.0,0.98446,,1.028,0.56,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.567
6,06_10,43,6,ロゼル,5.91,79.1,0.93,D,85.0,1.0,1.1423,A,1.028,0.711,E,1.0,1.0,,1.0,1.0,,1.0,,1.11393,A,0.93
6,06_10,43,7,ハリケーンリッジ,3.11,41.65,0.578,E,72.0,1.0,0.6853,E,1.028,0.681,E,1.0,1.0,,1.0,1.0,,1.0,,1.20477,S,0.578
6,06_10,43,8,ダノンミッション,6.79,90.89,1.082,B,84.0,1.0,1.26107,SS,1.028,0.747,E,1.0,1.0,,1.0,1.0,,1.0,,1.11702,A,1.082
6,06_10,43,9,ワンモアスマイル,9.74,130.37,1.417,SS,92.0,1.0,1.08572,B,1.028,1.295,SS,1.0,1.0,,1.0,1.0,,1.0,,0.98047,,1.417
6,06_10,43,10,マルカオペラ,5.44,72.88,0.867,E,84.0,1.0,0.9615,,1.028,0.747,E,1.0,1.0,,1.0,1.0,,1.0,,1.17479,S,0.867
6,06_10,43,11,ワタシマツワ,5.02,67.23,0.763,E,88.0,1.0,0.88764,D,1.028,0.786,E,1.0,1.0,,1.0,1.0,,1.0,,1.06417,B,0.763
