場所,レース,クラス,馬番,馬名,MS_index,MS_index_value,総合係数,総合判定,基準値,未勝利,コース,(判定),O_Month,O_Level,(判定),O_Trouble,O_Bias,(複合判定),S_Female,S_Handi,(複合判定),重賞,(判定),血統,(判定),騎手,(判定),総合係数
6,06_9,67,13,マルチャン,5.06,52.48,0.577,E,91.0,1.0,1.11227,A,1.008,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.01355,,0.50747,E,0.577
6,06_9,67,14,メタルスピード,0.85,8.81,0.096,E,92.0,1.0,1.12646,A,1.008,0.104,E,1.0,1.0,,1.0,1.0,,1.0,,1.00641,,0.80711,E,0.096
6,06_9,67,15,ウインレイアー,3.44,35.64,0.379,E,94.0,1.0,0.43297,E,1.008,0.83,E,1.0,1.0,,1.0,1.0,,1.0,,1.04943,D,0.99743,,0.379
6,06_10,131,1,ワールズコライド,5.87,31.56,0.355,E,89.0,1.0,0.99503,,0.996,0.778,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.45991,E,0.355
6,06_10,131,2,オーブルクール,0.25,1.35,0.014,E,94.0,1.0,0.44308,E,0.996,0.036,E,1.0,0.987,,1.0,1.0,,1.0,,1.04327,D,0.8805,D,0.014
6,06_10,131,3,バンデルオーラ,0.09,0.51,0.005,E,95.0,1.0,0.49739,E,0.996,0.104,E,1.0,1.0,,1.0,1.0,,1.0,,0.46806,E,0.22203,E,0.005
6,06_10,131,4,カンパニョーラ,7.22,38.81,0.413,E,94.0,1.0,0.50141,E,0.996,0.773,E,0.994,0.988,,1.0,1.0,,1.0,,1.03165,,1.05517,B,0.413
6,06_10,131,5,ジュンウィンダム,0.84,4.5,0.047,E,96.0,1.0,0.43257,E,0.996,0.104,E,1.0,1.0,,1.0,1.0,,1.0,,1.03986,,1.00776,,0.047
6,06_10,131,6,エコロアゼル,8.88,47.74,0.497,E,96.0,1.0,1.09363,B,0.996,0.396,E,1.008,1.0,,1.0,1.0,,1.0,,1.0,,1.142,A,0.497
6,06_10,131,7,バグラダス,11.71,62.95,0.691,E,91.0,1.0,0.89088,D,0.996,0.818,E,1.0,1.0,,1.0,1.0,,1.0,,1.06739,B,0.89251,D,0.691
6,06_10,131,8,ソニックスター,9.49,50.98,0.586,E,87.0,1.0,0.92864,D,0.996,0.642,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.98723,,0.586
6,06_10,131,9,ジョーローリット,16.86,90.61,0.87,D,104.0,1.0,1.04067,D,0.996,1.3,SS,1.148,1.114,SS,1.0,1.0,,1.0,,0.48927,E,1.03239,,0.87
6,06_10,131,10,アメリカンステージ,7.15,38.44,0.381,E,101.0,1.0,0.44636,E,0.996,0.881,D,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.97189,,0.381
6,06_10,131,11,サンライズパスカル,0.76,4.07,0.043,E,96.0,1.0,0.91545,D,0.996,0.036,E,1.0,0.993,,1.0,1.0,,1.0,,1.16859,S,1.11758,A,0.043
6,06_10,131,12,ロードアウォード,0.21,1.11,0.011,E,106.0,1.0,0.22645,E,0.996,0.036,E,1.0,1.074,B,1.0,1.0,,1.0,,1.08892,B,1.11143,A,0.011
6,06_10,131,13,ポールセン,15.46,83.06,0.791,E,105.0,1.0,1.03701,,0.996,1.597,SS,1.053,1.035,B,1.0,1.0,,1.0,,1.0,,0.4402,E,0.791
